,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
642927,642927,2019-09-30 13:11:40,5127412150261034,fraud_Jacobi Inc,health_fitness,10.34,David,Campbell,M,2989 Murray Inlet,Washington,DC,20017,38.9367,-76.994,601723,"Psychotherapist, child",1991-02-04,a86a29b4e5003b5771104ae80708b0a5,1349010700,38.096666,-76.128339,0
758809,758809,2019-11-20 22:03:50,213124978348176,fraud_Schuppe LLC,entertainment,16.56,Steven,Arnold,M,079 Chelsea Rest,Belfast,NY,14711,42.32,-78.0943,1766,Mechanical engineer,1962-06-04,75040f0d90382e2337818ddea839e938,1353449030,42.658281,-78.516161,0
78889,78889,2019-02-16 15:48:15,4917187576956394,fraud_Jast and Sons,food_dining,2.41,Joel,Rivera,M,121 Solis Summit Apt. 934,Tryon,OK,74875,35.8759,-96.9623,1165,"Psychotherapist, child",1944-11-11,1496dc121616a58d500c6f9100e79d66,1329407295,35.258482,-96.259058,0
95141,95141,2019-02-25 18:20:01,3554849923339851,fraud_Rolfson-Kunde,personal_care,28.14,John,Hudson,M,886 Nicole Key,Stillwater,OK,74074,36.1043,-97.0609,55345,Cabin crew,1948-05-01,1cd09979cef91d2cb770bd09f583219b,1330194001,35.958554,-97.886305,0
98598,98598,2019-02-27 11:44:32,377113842678100,fraud_Mraz-Herzog,gas_transport,72.24,Billy,Gallagher,M,673 Delgado Burg,Greenwich,NJ,8323,39.4055,-75.3209,804,Insurance risk surveyor,1965-03-25,29f562b079bf6ef422d8c772d1d51b87,1330343072,38.695859000000006,-75.220885,0
1165851,1165851,2020-05-01 18:28:49,577588686219,fraud_Stamm-Rodriguez,misc_pos,63.04,James,Strickland,M,25454 Leonard Lake,Spring Church,PA,15686,40.6153,-79.4545,972,Public relations account executive,1997-10-23,16205c7228758d1409bae06fd40b361d,1367432929,41.257103,-79.670874,0
454137,454137,2019-07-20 18:51:07,3583635130604947,fraud_Osinski Inc,personal_care,46.32,Crystal,Gamble,F,899 Michele View Suite 960,Philadelphia,PA,19149,40.0369,-75.0664,1526206,Structural engineer,1985-01-01,ca31eee5b292fc6735bd2e655e5c62c3,1342810267,40.377101,-75.63040500000001,0
900294,900294,2019-12-26 23:42:22,4044436772018844508,fraud_Bartoletti and Sons,personal_care,5.41,Amy,Abbott,F,01505 Amy Stravenue,Dayton,OH,45415,39.8355,-84.2613,479994,Environmental manager,1970-11-09,bad823d5a476d50aafe3d09c8cb3d49f,1356565342,39.498845,-83.389113,0
897100,897100,2019-12-26 03:19:23,6011542681743618,"fraud_Tromp, Kerluke and Glover",grocery_net,29.74,Emily,Hall,F,8851 Reese Neck,Basye,VA,22810,38.8089,-78.7776,863,"Engineer, mining",1972-08-09,5f7ccad1af469407ce2fdeefa19d5802,1356491963,39.760988,-78.116122,0
1066371,1066371,2020-03-18 09:39:18,6506116513503136,fraud_Huels-Nolan,gas_transport,43.33,Kimberly,Rice,F,63991 Destiny Rue Apt. 651,Tyler,TX,75703,32.2768,-95.3031,144160,Sports development officer,1984-05-04,c6b513022d304f6f31c78985049d7404,1363599558,33.196931,-94.444758,0
969455,969455,2020-01-26 23:13:15,3543591270174051,fraud_Friesen-Ortiz,personal_care,19.83,Margaret,Lam,F,6911 Nicholas Keys Apt. 237,Armagh,PA,15920,40.4603,-79.0097,922,Early years teacher,1972-10-04,014c6b452f4316095f7f23ff5fafbaba,1359241995,40.637498,-78.508021,0
598547,598547,2019-09-11 01:45:28,4294930380592,"fraud_Baumbach, Feeney and Morar",shopping_net,4.14,Misty,Rivera,F,1980 Vasquez Manors Apt. 574,Catawba,VA,24070,37.3696,-80.1284,1363,Equality and diversity officer,1940-08-23,37ba06aa9dc699ac546348c70d7eb697,1347327928,37.490913,-80.964415,0
469501,469501,2019-07-26 05:36:08,30143713661454,fraud_Prohaska-Murray,gas_transport,68.99,Nicholas,Thornton,M,5270 Megan Burg Suite 756,Halma,MN,56729,48.6669,-96.5969,140,"Embryologist, clinical",1942-01-06,dbaa0a1748273d15430fd5f8da5886d4,1343280968,48.093406,-95.816411,0
322779,322779,2019-06-03 11:52:51,676173792455,fraud_Kutch LLC,gas_transport,71.0,Brittany,Cox,F,07177 William Dale Apt. 547,Santa Monica,CA,90403,34.0287,-118.4924,92043,"Civil engineer, contracting",1961-04-25,9008407876cea428d8041d02a3855cc0,1338724371,34.839212,-119.172736,0
603102,603102,2019-09-13 17:43:03,676248282243,"fraud_Ritchie, Oberbrunner and Cremin",travel,4.09,Amanda,Wheeler,F,329 Emily Cape,Cape Coral,FL,33909,26.6939,-81.9452,156391,Higher education careers adviser,1968-02-09,55564e52346182cb098feeebdec730e9,1347558183,26.183793,-81.519901,0
1119707,1119707,2020-04-11 13:02:04,4128730454058057622,fraud_Torphy-Kertzmann,health_fitness,17.05,Monique,Martin,F,68276 Matthew Springs,Ratcliff,TX,75858,31.3833,-95.0619,43,"Engineer, production",1949-10-04,0a213fa8e152020568dca89da95b5d13,1365685324,30.568266,-95.047937,0
462439,462439,2019-07-22 22:03:55,30199621383748,fraud_Kutch-Ferry,home,44.05,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,1977-03-23,8a76fbb883bbd081ccd8da7d4db59593,1342994635,33.185598,-96.285796,0
474323,474323,2019-07-27 21:44:32,6011382886333463,fraud_Waters-Cruickshank,health_fitness,140.03,Martin,Duarte,M,6251 Payne Flats Apt. 581,Luzerne,MI,48636,44.6001,-84.2931,864,General practice doctor,1942-05-04,39020fd2805d1412b9124969ccc80d39,1343425472,43.708055,-84.827784,0
14420,14420,2019-01-09 00:04:30,4653879239169997,"fraud_Kutch, Hermiston and Farrell",gas_transport,96.17,Monica,Tucker,F,302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",1999-06-06,b5843b7bb84722566ab1b20f7848e76e,1326067470,36.182638,-85.378852,0
872669,872669,2019-12-20 22:45:21,4607072969078276,fraud_Klein Group,entertainment,4.28,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,1985-03-21,57907e191ecb314a5d723056b93b44c9,1356043521,35.308663,-97.847317,0
668894,668894,2019-10-12 14:42:39,6011367958204270,fraud_Morissette LLC,entertainment,85.94,Tammy,Ayers,F,1652 James Mews,Hinckley,OH,44233,41.2419,-81.7453,7646,Medical sales representative,1988-09-15,72076ed43c48ff6a81b01e2aeede77e9,1350052959,41.75499,-81.10068199999999,0
1032205,1032205,2020-03-03 14:19:48,3501509250702469,fraud_Waters-Cruickshank,health_fitness,43.99,Frank,Anderson,M,0611 Stafford Valley Suite 504,Naples,FL,34112,26.1184,-81.7361,276002,"Programme researcher, broadcasting/film/video",1979-01-02,92b77a6d416e95773a022add04ec5f19,1362320388,26.110084,-82.703327,0
429833,429833,2019-07-11 23:41:59,3590736522064285,fraud_Abernathy and Sons,food_dining,48.19,Kimberly,Gonzalez,F,72966 Shannon Pass Apt. 391,Bauxite,AR,72011,34.5091,-92.4828,4074,"Scientist, audiological",1975-12-20,35b33b911ddbe92157686599124b3633,1342050119,34.226552000000005,-92.063687,0
681761,681761,2019-10-18 04:16:28,348789608637806,"fraud_Raynor, Feest and Miller",gas_transport,56.37,Megan,Murphy,F,53696 Laura Radial,Holstein,NE,68950,40.4542,-98.6538,331,Telecommunications researcher,1950-08-19,9f54dd7ac4b84a43819b62f6898931b1,1350533788,39.745482,-99.037652,0
745019,745019,2019-11-15 01:22:26,4364010865167176,"fraud_Tillman, Dickinson and Labadie",gas_transport,29.82,Gary,Martinez,M,03512 Jackson Ports,Reno,NV,89512,39.5483,-119.7957,276896,Immunologist,1997-03-12,75bf66ebb29ae7012f90f1bf8421da00,1352942546,39.456484,-120.060971,0
1216517,1216517,2020-05-24 06:57:15,180036456789979,fraud_Bednar Group,misc_net,26.61,Mackenzie,Salazar,F,982 Melissa Lock,Bagley,WI,53801,42.9207,-91.0685,878,Risk analyst,1974-11-20,e5d57a63a8552372e6f3f21e60543375,1369378635,42.826798,-91.602142,0
18563,18563,2019-01-12 06:56:02,6554245334757802,fraud_Medhurst PLC,shopping_net,7.87,Monique,Robinson,F,07712 Marcus Divide Apt. 831,Laguna Hills,CA,92637,33.615,-117.7114,45303,Sales executive,1969-12-22,930a57b879bd6499ed271db2158e5986,1326351362,34.51997,-117.427742,0
861022,861022,2019-12-17 15:04:59,6511349151405438,"fraud_Ritchie, Oberbrunner and Cremin",travel,2.81,Robert,Nguyen,M,74835 Garner Point,Ruth,NV,89319,39.3426,-114.8859,450,Interpreter,1946-08-24,a24ae2c81a54e5a9a5404cb8c6b10916,1355756699,39.586995,-115.093979,0
465593,465593,2019-07-24 13:08:00,180031190491743,fraud_Lemke-Gutmann,shopping_net,8.29,Becky,Mckinney,F,250 Benjamin Hill Apt. 026,Mobile,AL,36617,30.7145,-88.0918,270712,"Surveyor, land/geomatics",1972-01-05,c144ffb43957af5d7089feaceccfc4cb,1343135280,30.927369,-88.072626,0
901447,901447,2019-12-27 09:02:19,571465035400,"fraud_Reichert, Shanahan and Hayes",shopping_net,90.43,Louis,Fisher,M,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,1976-02-26,321c8bfd2fe3eb172a6dc0efcfbfa9bd,1356598939,43.153837,-108.405384,0
522569,522569,2019-08-13 02:18:28,4279161831637,fraud_Mraz-Herzog,gas_transport,96.37,Lisa,Hendrix,F,35737 Kirby Fall Suite 409,Vanderbilt,PA,15486,40.0246,-79.6955,2303,Physiotherapist,1987-08-16,cea4ab6facbbc55fb3e46e2439d41eec,1344824308,40.444568,-80.28035799999999,0
945059,945059,2020-01-12 21:08:25,30501624614310,fraud_Schimmel-Olson,kids_pets,112.12,Amanda,Smith,F,180 Graves Shore,Scotia,SC,29939,32.6786,-81.2455,302,Magazine features editor,1973-05-04,a65bfb130deaecde534c086b765b899d,1358024905,32.882084000000006,-80.925622,0
411848,411848,2019-07-05 20:10:51,2264937662466770,fraud_Pacocha-Weissnat,kids_pets,11.19,Juan,Sherman,M,5939 Garcia Forges Suite 297,San Antonio,TX,78214,29.3641,-98.4924,1595797,Land,1995-10-17,b39339892e6c488dd7acee88fcaeca9d,1341519051,29.95087,-98.794819,0
764748,764748,2019-11-23 20:37:37,180036456789979,fraud_Swift PLC,kids_pets,14.69,Mackenzie,Salazar,F,982 Melissa Lock,Bagley,WI,53801,42.9207,-91.0685,878,Risk analyst,1974-11-20,8b3aebe5f708e9ac5ed0a3765c351382,1353703057,42.468974,-90.807722,0
1251071,1251071,2020-06-05 02:59:18,4657269323674365,fraud_Thiel-Thiel,entertainment,2.6,Alicia,Mitchell,F,125 Kristen Dale,Grand Ridge,FL,32442,30.7148,-85.021,3699,Art gallery manager,1948-09-07,b63f1b25145c8faaae917a8f4805cd7e,1370401158,30.547285,-85.790352,0
298291,298291,2019-05-26 04:54:37,4859525594182537,fraud_Heller-Abshire,grocery_net,40.56,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25,1d9e187f79a42003bedb7c284a77d28d,1338008077,42.71411,-74.438226,0
690717,690717,2019-10-21 13:50:51,3589255887819806,fraud_Erdman-Durgan,health_fitness,15.79,David,Miller,M,622 Bradley Knoll Apt. 758,Hancock,MD,21750,39.6991,-78.1762,3766,Press photographer,1984-02-14,2237b474c970387fe585184acdd49998,1350827451,38.869702,-78.585076,0
685336,685336,2019-10-19 19:01:22,36721445180895,"fraud_Mante, Luettgen and Hackett",health_fitness,71.4,Cesar,Smith,M,901 Ariel Points,Jefferson,NY,12093,42.4999,-74.6117,1666,Diagnostic radiographer,1968-07-01,c34ce39f03b12562490effab20345eca,1350673282,42.459151,-74.193045,0
882922,882922,2019-12-22 18:40:55,3598215285024754,fraud_Collier LLC,home,6.6,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21,a5417c37874c2a4439bb173b69083157,1356201655,41.627391,-74.418076,0
415835,415835,2019-07-07 00:36:39,3575789281659026,"fraud_Stehr, Jewess and Schimmel",misc_net,7.44,Lindsay,Wilson,F,7618 Gonzales Mission,Centerview,MO,64019,38.7897,-93.8702,2368,Electronics engineer,1989-07-17,7a56dbcb45b4e533a51de8dbe43bf017,1341621399,39.012169,-94.847338,0
300417,300417,2019-05-26 18:15:36,3566094707272327,fraud_O'Connell-Ullrich,home,16.23,Kristina,Stewart,F,47029 Jimmy Tunnel Apt. 106,Newhall,CA,91321,34.3795,-118.523,34882,Health physicist,1971-04-25,85ba092b53c5aea83876f8b337e5cc45,1338056136,35.10638,-118.565459,0
278664,278664,2019-05-18 04:17:07,6011934240159560,fraud_Bogisich-Homenick,misc_net,82.88,Joshua,Cohen,M,426 Mark Ports,Brooklin,ME,4616,44.2541,-68.5565,824,"Loss adjuster, chartered",1974-11-02,7a61bc928aad38835037c9015367b9c7,1337314627,44.752894,-68.18446,0
841886,841886,2019-12-14 02:07:47,4716561796955522,fraud_Brekke and Sons,gas_transport,58.07,Lauren,Anderson,F,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,1972-05-04,ce330181477112fba64f5010b8355652,1355450867,48.982776,-113.727478,0
1147515,1147515,2020-04-23 07:49:20,573860193545,fraud_Klocko LLC,misc_net,6.33,Cristian,Jones,M,0423 Kirby Field Suite 623,Wilmette,IL,60091,42.0765,-87.7246,27020,Trade mark attorney,1986-07-23,001da72e9138278736eef53cbc72c53e,1366703360,42.890629,-87.390945,0
440382,440382,2019-07-15 07:44:31,342952484382519,fraud_Koepp-Parker,grocery_pos,112.74,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,4571e5ce35658b72f72fc16fead8fa02,1342338271,42.327749,-73.974861,0
736086,736086,2019-11-10 18:14:57,502038091380,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,1083.77,Kurt,Peters,M,7290 Ashlee Keys,Kissee Mills,MO,65680,36.6704,-93.0377,1201,"Engineer, agricultural",1980-03-18,9e0c64b49f244af055b077576269ecb9,1352571297,37.131465000000006,-92.853143,1
1210256,1210256,2020-05-20 23:40:51,4503101193493052864,"fraud_Lakin, Ferry and Beatty",food_dining,67.52,Katherine,Tucker,F,670 Le Meadows Suite 250,Lakeland,FL,33811,27.9865,-82.0139,237282,Clothing/textile technologist,1979-07-03,fd6d8caa3229a5f2cc5f34bc0578a479,1369093251,28.669608,-81.809578,0
971941,971941,2020-01-28 01:53:13,4018105808392773675,fraud_Vandervort-Funk,grocery_pos,110.43,Katherine,Love,F,5884 Sandoval Square Apt. 371,Allenhurst,NJ,7711,40.2367,-74.0067,1533,"Administrator, charities/voluntary organisations",1935-04-15,2ece0cf4b1a03742548ce38a75ea5f80,1359337993,39.603233,-74.250553,0
1003746,1003746,2020-02-16 11:13:19,3533742182628021,fraud_Pacocha-O'Reilly,grocery_pos,48.34,Robert,Haynes,M,857 Aaron Circles Suite 398,Johns Island,SC,29455,32.8357,-79.8217,20478,Materials engineer,1997-06-04,618f18aa6757ae80fe7a136ae829d7a4,1361013199,32.006543,-80.273588,0
422843,422843,2019-07-08 20:14:31,30044330818990,fraud_Macejkovic-Lesch,shopping_pos,1.06,Allison,Ayala,F,87665 Karen Mill Apt. 586,Fort Myers,FL,33967,26.4722,-81.8122,224256,Paramedic,1985-08-29,272776641237edd4f0c126f79cc2d18c,1341778471,25.836845,-82.56609399999999,0
17469,17469,2019-01-11 12:44:00,2383461948823908,fraud_Heaney-Marquardt,entertainment,22.3,Patrick,Vaughan,M,651 Miller Common,Parsonsfield,ME,4047,43.745,-70.9092,1892,Audiological scientist,1956-03-02,e8f25e8cb33ea568d986cf452841b5c0,1326285840,44.470725,-71.23865500000001,0
358186,358186,2019-06-16 10:52:08,5410056176712193,fraud_Padberg-Welch,grocery_pos,89.8,Jeffrey,Krause,M,4742 Alexandria Mountain,New Franken,WI,54229,44.5592,-87.8235,4306,Art therapist,1989-10-19,5b5f3d2dece5e1450a711e011d4e735e,1339843928,44.109676,-87.31665100000001,0
559981,559981,2019-08-26 14:05:39,3562264947797243,fraud_Crooks and Sons,personal_care,46.9,Anthony,Velasquez,M,609 Hunt Grove,Saint Francis,KY,40062,37.6047,-85.4251,301,"Research officer, political party",1967-03-17,5b7190974e1d385d5dd56902d75d624d,1345989939,37.5363,-84.949239,0
330742,330742,2019-06-06 19:02:09,6011504998544485,fraud_Kilback LLC,food_dining,3.45,Ashley,Whitney,F,4038 Smith Avenue,Jones,AL,36749,32.5104,-86.8138,1089,Materials engineer,1971-11-02,147ebadd7b0e568b96d34baa9619eb05,1339009329,32.207845,-87.684967,0
678131,678131,2019-10-16 03:29:10,376262134119629,fraud_Klein Group,entertainment,29.88,Christopher,Carr,M,62931 Ralph Court,Lakeland,FL,33813,27.9611,-81.9398,237282,"Radiographer, therapeutic",1961-09-28,3c9ad4365381b7048685782f84a6a110,1350358150,27.488819,-82.59480400000001,0
1192759,1192759,2020-05-12 22:21:36,30546453310167,"fraud_Bradtke, Torp and Bahringer",personal_care,43.23,Nicholas,Tran,M,672 Randall Burg Suite 551,Belmont,NH,3220,43.4512,-71.48899999999999,7430,"Scientist, research (medical)",1955-01-13,363099938a9c5e5df82a049b225e6876,1368397296,43.19342,-70.51528499999999,0
390276,390276,2019-06-27 23:10:03,6011706277606006,fraud_Bernier and Sons,kids_pets,87.44,Scott,Sullivan,M,776 Martin Ridge,Newton,NH,3858,42.8678,-71.042,4603,"Therapist, music",1952-12-07,2a0f160fdd526407f03a15cee2a789d1,1340838603,43.613773,-70.36627,0
593157,593157,2019-09-08 19:29:27,38530489946071,fraud_Pollich LLC,home,39.05,Laura,Johns,F,95835 Garcia Rue,Arcadia,SC,29320,34.9572,-81.9916,530,Animal technologist,1989-05-14,6c3ea5b0e7d69f68ece87d639a35fd95,1347132567,34.322590000000005,-81.168249,0
707964,707964,2019-10-28 21:47:48,4220345354880,fraud_Leffler-Goldner,personal_care,4.29,Patrick,Torres,M,27386 Snyder Station,Oxford,MI,48371,42.8223,-83.2829,24840,Agricultural consultant,1960-01-20,99a8e34f8c0b11577941de517440b5c7,1351460868,43.638104,-82.417328,0
792141,792141,2019-12-02 10:22:34,4302480582202074,fraud_Kuhn LLC,misc_net,7.39,David,Rodriguez,M,821 Solis Points,Muskegon,MI,49440,43.2326,-86.2492,128715,Historic buildings inspector/conservation officer,1995-05-25,b6f27d861a9c3557cedb7d00d4ff94b3,1354443754,42.920198,-85.737894,0
1003010,1003010,2020-02-16 02:00:39,4586260469584,fraud_Bins-Rice,gas_transport,77.68,Melody,Thompson,F,0362 Anderson Wall,Mound City,MO,64470,40.1362,-95.2138,1631,Architect,1953-01-20,523c1a78f41ed385b44d9c3e6608e7ef,1360980039,41.087296,-95.077766,0
856824,856824,2019-12-16 15:45:40,4379260813815979609,"fraud_Lang, Towne and Schuppe",kids_pets,206.88,Thomas,Jenkins,M,93914 Gregory Via,Oakland,CA,94619,37.7878,-122.1884,381459,Barista,1974-01-03,bf8d9f629cb340d66ca3af168c524cda,1355672740,37.763048,-122.273668,0
35174,35174,2019-01-21 17:05:19,4128730454058057622,fraud_Reilly and Sons,health_fitness,50.91,Monique,Martin,F,68276 Matthew Springs,Ratcliff,TX,75858,31.3833,-95.0619,43,"Engineer, production",1949-10-04,80c47eab7de836ce11d291d19e5e5e09,1327165519,31.899893,-94.888075,0
565745,565745,2019-08-28 23:37:46,4128730454058057622,fraud_Abshire PLC,entertainment,54.73,Monique,Martin,F,68276 Matthew Springs,Ratcliff,TX,75858,31.3833,-95.0619,43,"Engineer, production",1949-10-04,172e327d082ff345a6244ed682408295,1346197066,31.040519,-95.96917,0
446124,446124,2019-07-17 14:37:01,4681601008538160,fraud_Price Inc,shopping_net,5.52,Tammy,Davis,F,77663 Colleen Freeway,Moundsville,WV,26041,39.9148,-80.73100000000001,16183,Physiotherapist,1977-08-12,f5a78498ab4806885e313fe34ee08cd9,1342535821,40.146761,-79.850809,0
689582,689582,2019-10-21 03:13:16,4334230547694630,fraud_Sporer Inc,gas_transport,69.3,Scott,Martin,M,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",1967-08-02,8a602428b604fa17486bebd7e156ca42,1350789196,43.607222,-110.108227,0
985005,985005,2020-02-05 01:19:53,6011388901471808,"fraud_Stehr, Jewess and Schimmel",misc_net,37.1,Jacqueline,Marsh,F,950 Sheryl Spurs,Dunlevy,PA,15432,40.1151,-79.8627,427,Mining engineer,1951-02-05,1be4854512f22e308997cfd34eb6e339,1360027193,39.882267,-80.312851,0
817788,817788,2019-12-08 12:15:19,4613314721966,"fraud_Streich, Rolfson and Wilderman",kids_pets,53.23,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,1988-09-15,740493c637cf8cac796ccc1fc4825bbb,1354968919,36.064071000000006,-81.05855,0
937498,937498,2020-01-08 14:14:40,30290551782700,"fraud_Hartmann, Rowe and Hermann",travel,2.39,John,Clarke,M,27909 Peter Motorway,Cadiz,KY,42211,36.802,-87.8286,13422,Commissioning editor,1961-09-03,1eca0a7299c18b524acee71a37dd9915,1357654480,37.099676,-88.75354899999999,0
1084079,1084079,2020-03-26 12:19:48,4260128500325,"fraud_Gottlieb, Considine and Schultz",shopping_net,44.31,Whitney,Gallagher,F,0374 Courtney Islands Apt. 400,Deane,KY,41812,37.2409,-82.7696,230,"Conservation officer, historic buildings",1997-08-04,a43382415f1c38316a5921e5da8a126c,1364300388,37.962373,-83.719031,0
675316,675316,2019-10-14 16:36:44,213178850083780,fraud_Collier LLC,home,79.79,Shawn,King,M,31493 Garcia Summit,Athena,OR,97813,45.8289,-118.4971,1302,Dealer,1976-10-18,f8f367ae1b7c18e10a078f7df3070569,1350232604,46.179224,-117.823667,0
594593,594593,2019-09-09 06:25:22,4642255475285942,fraud_Emard Inc,gas_transport,88.44,Sabrina,Johnson,F,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",1987-04-23,60e18f377e45ef98e522369009b567ce,1347171922,38.972201,-109.146839,0
842819,842819,2019-12-14 07:17:36,571844099986,"fraud_Rowe, Batz and Goodwin",grocery_pos,133.17,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02,a3d776fbed2d7b1eec91a413347e750d,1355469456,37.646081,-86.377672,0
415594,415594,2019-07-06 23:06:54,4653879239169997,fraud_Volkman Ltd,misc_net,8.57,Monica,Tucker,F,302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",1999-06-06,4d1407182946f3f42072ff80ce89c457,1341616014,36.474628,-85.772806,0
960727,960727,2020-01-21 19:10:31,676369110710,fraud_Cruickshank-Mills,entertainment,150.2,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",1974-12-28,3d7d7c0e9849e8d1b9118bc27cd5f535,1358795431,41.915289,-83.66755,0
53526,53526,2019-02-01 17:49:00,4220495028289516646,fraud_Ruecker-Mayert,kids_pets,32.69,Bethany,Andrade,F,7898 Wanda Springs,Corona,CA,92882,33.8419,-117.6043,233717,Wellsite geologist,1966-05-22,d1cd401fc5be5f8470de84880deea042,1328118540,34.101753,-117.549007,0
217619,217619,2019-04-20 23:36:31,3533177016567295,fraud_Will Ltd,food_dining,86.9,Derek,Bentley,M,782 Lee Crossing Apt. 209,Weeping Water,NE,68463,40.8731,-96.1528,1517,Dealer,1951-11-08,6bcb1d131e48563bb1d08ac6e5e50bd9,1334964991,41.23424,-96.368863,0
374807,374807,2019-06-22 13:41:34,375237305371366,fraud_Lubowitz-Walter,kids_pets,101.06,David,Erickson,M,616 Jimenez Meadow Apt. 701,East Rochester,NY,14445,43.1128,-77.4906,8019,Retail buyer,1928-06-26,349669ccee62f20cf473e21393bd3dbc,1340372494,42.344412,-77.526496,0
